Sr No,College Name,CollegeUrl,Email,Address,Contact No,TPO Name,TPO Number
1,Jamnalal Bajaj Institute of Management Studies   Mumbai,www.jbims.edu,director@jbims.edu,Dadabhai Navroji House   164   Backbay Reclamation   H. T. Parekh Marg   Rd No.3   Churchgate Mumbai    400020,22747700,,
2,Sydenham Institute of Management Studies & Research & Entrepreneurship Education(SIMSREE)   Mumbai,www.simsree.org,director@simsree.net,B-Road   Churchgate   Mumbai  400020,61510701,,
3,Alkesh Dinesh Modi Institute for Financial & Management Studies   Mumbai,www.mu.ac.in,director@admi.mu.ac.in,Joravar Bhavan  opp.new boys hostel   mumbai university Kalina Vidyanagari campus  Santacruz(E.)Mumbai- 400 098,26521680,,
4,Jankidevi Bajaj Institute of Management Studies   Santacruz   Mumbai,www.jdbims.net,jdbims@sndt.ac.in,Sir Vithaldas Thackersey Vidya Vihar   Juhu Road   Santacruz(w)   Mumbai 400049,26606626,,
5,Government College of Pharmacy   Ratnagiri,www.gcopratnagiri.com,bpharmratnagiri@gmail.com,Government Polytechnic Campus   Near Thiba Palace   Ratnagiri,450459,,
6,Government Institute of Printing Technology   Mumbai,www.gipt.ac.in,gipt_m@rediffmail.com,J.J School Of Architecture Compound   Near Cst Station   Mumbai 400001,20821474,,
7,Government Polytechnic   Mumbai,www.gpmumbai.ac.in,principal@gpmumbai.ac.in  gpmumbai@gpmumbai.ac.in,49   Ali Yawar Jung Marg   Kherwadi   Bandra(E)   Mumbai 400051,26474780,,
8,Government Polytechnic   Pen,www.gppen.ac.in,governmentpolytechnicpen@rediffmail.com,At Post Ramwadi   Tal.Pen   Dist.Raigad. Raigad    402107,9405691405,,
9,Government Polytechnic   Ratnagiri,www.gpratnagiri.org,office.gpratnagiri@dtemaharashtra.gov.in,Near Thiba  Palace   Ratnagiri    415612,222435,,
10,Government Polytechnic   Malvan,www.gpmalvan.co.in,gpmalvan3010@gmail.com,A/P Kumbharmath   Malvan   Sindhudurg    416606,252223,,
11,Government Polytechnic   Thane,www.gpthane.org.in,principal.gpthane@dtemaharashtra.gov.in,At Phadke Pada   Opp. Bharat Gears  Mumbra Shil Road  Opp Bharat  Ltd. Thane    400612,9969601972,,
12,Veermata Jijabai Technological Institute(VJTI)   Matunga   Mumbai,www.vjti.ac.in,director@vjti.org.in,H.R. Mahajani Marg   Matunga   Mumbai ,24198101,,
13,Government Polytechnic   Vikramgad.,,gpvikramgad11@gmail.com,ZadPoli   Shil Road   at post Shil   Tal. Vikramgad   District Palghar,203133,,
14,Sardar Patel College of Engineering   Andheri,www.spce.ac.in,principal@spce.ac.in,Munshi Nagar   Andheri (West)    Mumbai - Suburban   Mumbai ,26232192,,
15,Prin. K.M. Kundnani College of Pharmacy   Mumbai,www.kmkcp.com,kmkcp@rediffmail.com,Plot No. 23   Jote Joy   Rambhau Salgaonkar Marg   Cuffe Parade Mumbai,22164368,,
16,Bombay College of Pharmacy   Santacruz(E)   Mumbai,www.bcp.edu.in,office.bcpindia@gmail.com,Kalina   Santacruz (E)   Mumbai ,26670871,,
17,C U Shah College of Pharmacy for Women   Mumbai,sndt.ac.in,cuscp@yahoo.co.in,Sir Vithaldas Vidyavihar  (SNDT Women Uni)Juhu Road   Santacruz(w) Mumbai,26608462,,
18,Rachna Sansad Academy Of Architecture  Mumbai,www.aoamumbai.in,contact@aoamumbai.in,278   Shankar Ghanekar Marg   Behind Ravindra Natya Mandir   Prabhadevi  Mumbai,24301024,,
19,Sir J. J. College of Architecture   Mumbai,www.sirjjarchitecture.org,sirjjarchitecture@yahoo.co.in,78 / 3   Dr. D.N. Road   Fort   Mumbai,22621649,,
20,Sasmira's Institute of Manmade Textiles   Mumbai,www.sasmira.org,principal@sasmira.org,Dr. A.B. Road   Sasmira Marg   Worli   Mumbai. 400030,24935351,,
21,K. J. Somaiya Polytechnic   Mumbai,polytechnic.somaiya.edu,info.polytech@somaiya.edu,Vidyanagar   Mumbai    400077,21021752,,
22,St. Xavier's Technical Institute   Mumbai,www.xaviertech.com,office@xaviertech.com,Mahim Causeway Road   Mahim   Mumbai    400016,24455937,,
23,Sophia Shree B.K. Somani Memorial Polytechnic)   Mumbai,www.sophiapolytechnic.com,0407principal@msbte.com,Sophia Shree B. K. Somani Memorial Polytechnic   Mumbai    400026,23514147,,
24,Shri Bhagubhai Mafatlal Polytechnic   Mumbai,www.sbmp.ac.in,principalsbmp@rediffmail.com,N.R.G. Gadkari Marg   Mumbai    400056,42336000,,
25,M. H. Saboo Siddik Polytechnic   Mumbai,www.mhssp.org,principal.mhssp@yahoo.com,Anjuman-I-Islam's M.H.Saboo Siddik Polytechnic   8   Shepherd Rd   Byculla   Mumbai,23084881,,
26,Premlila Vithaldas Polytechnic(Womens)  Mumbai,www.pvpsndt.org,pvp@pvpsndt.org,SNDT Women's University  Juhu Road  Santacruz (W) Mumbai - Suburban    400049,26608676,,
27,Father Agnel Technical College (Polytechnic)   Bandra(W)   Mumbai,atc.fragnel.ac.in,fragnel_bandra@yahoo.com,Fr. Agnel Ashram Mumbai    400050,67114054,,
28,S.N.D.T Women's University P.G.D. of Computer Science   Mumbai,www.sndt.ac.in,computersc@sndt.ac.in,Sir Vithaldas Thackersey Vidya Vihar    Juhu Road   Santacruz(w)   Mumbai - 400049,222660,,
29,Dr. Babasaheb Ambedkar Technological University   Lonere,www.dbatu.ac.in,registrar@dbatu.ac.in,Vidyavihar   P.O. Lonere   Ta-Mangaon Dist. Raigad ,275142,,
30,Usha Mittal Institute of Technology SNDT  Women's University   Mumbai,www.umit.ac.in,umit@sndt.ac.in,SNDT  Women's University   Mumbai Juhu Campus   Santacruz (W)   Mumbai ,26605183,,
31,Institute of Chemical Technology   Matunga   Mumbai,www.ictmumbai.edu.in,ar.acad@staff.ictmumbai.edu.in,Nathalal Parikh Marg   Matunga   Mumbai ,33611111,,
32,Hydrabad (Sind) National Collegiate K.M.Kundanani Pharmacy Polytechnic  Ulhasnagar Dist-Thane,www.pkmkpp.org,pkmkpp2003@yahoo.com,Opp. Ulasnagar Railway Station   Thane    421003,2705163,,
33,Dr. Babasaheb Ambedkar Tech.University  Institute of Petrochemical Engineering  Lonere  Raigad,www.iopelonere.com,iopelonere@rediffmail.com,Vidyavihar  P.O.Lonere  Tal-Mangaon. Raigad    402103,275103,,
34,PREMLILA VITHALDAS POLYTECHNIC Pharmacy shifted to 3027 from 3041 ,www.pvpsndt.org,pvp@pvpsndt.org,SNDT Women's University   Juhu Road   Santacruz(W)   Mumbai sub,26608676,,
35,Bharti Vidyapeeth's Institute of Management Studies & Research   Navi Mumbai,www.bvimsr.com,director@bvimsr.com,Sector 8 CBD Belapur Navi Mumbai,27572433,,
36,Chetana's Ramprasad Khandelwal Institute of Management & Research   Mumbai,www.crkimr.in,info@crkimr.in,Survey No. 341   Govt. Colony   Bandra (E)   Mumbai  400051,26513346,,
37,K. J. Somaiya Institute of Management Studies & Research   Mumbai,simsr.somaiya.edu,meera@somaiya.edu,Vidyanagar   Vidyavihar (E)    Mumbai  400077,67283000,,
38,Lala Lajpatrai Institute of Management   Mumbai,www.llim.edu,info@llim.edu,Lala Lajpatrai Marg    Mahalaxmi   Mumbai - 34.,23513874,,
39,Mahatma Gandhi Mission's Institute of Management Studies & Research   Kamothe,www.mgmimsr.org,mgm_imsr@yahoo.com,At.Junction NH4  Sion Panvel Express Highway  Kalamboli  Kamothe  Navi Mumbai Raigad    400706,27433002,,
40,MET's Institute of Management   Mumbai,www.met.edu,director_iom@met.edu,Gen. Arunkumar Vaidya Chowk   Bandra (W)   Mumbai  400050,39554286,,
41,Prin. L. N. Welingkar Institute of Management Development & Research   Mumbai,www.welingkar.org,director@welingkar.org,Lakhamsi Nappo Road   Next To R.A. Podar College of Commerce   Matunga(E)   Mumbai 400019 ,24198300,,
42,Rizvi Institute of Management Studies & Research   Mumbai,www.rmi.rizvi.edu.in,info@rmi.rizvi.edu.in,New Rizvi Education Complex   Off. Carter Road    Bandra (W) Mumbai    400050,26042180,,
43,S.I.E.S. College of Management Studies   Mumbai,www.siescoms.edu,siescomsadmin@sies.edu.in,Sri. Chandrasekarandra Saraswathy Vidyapuram    Plot 1 E   Sector-5   Nerul   Navi Mumbai Raigad    400706,61082400,,
44,Vivekanand Education Society's Institute of Management Studies & Research   Mumbai,www.vesim.ves.ac.in,mailus.vesim@ves.ac.in,495-497  Collectors' Colony   Near Muncipal School   Chembur  Mumbai    400074,67893000,,
45,N. L. Dalmia Institute of Management Studies and Research   Mumbai,www.nldalmia.in,info@nldalmia.in,Srishti   Sector-I   Mira Road (E)   Mumbai Thane    401104,42990033,,
46,Indian Education Society's Management College & Research Centre   Mumbai,www.ies.edu/management,info@ies.edu,Vishwakarma M.D   Lotlikar Vidya Sankul   791   Shri Krishnachand Marg    Opp. Lilavati Hospital   Bandra Reclamation   Bandra (W)   Mumbai    400050,26561717,,
47,Maratha Mandir's Babasaheb Gawde Institute of Management Studies   Mumbai,www.mmbgims.in,director@mmbgims.com,4th Floor   Maratha Mandir's Annex   Babasaheb Gawde Chowk   Dr.  A.B. Nair Rd.    Mumbai Central   Mumbai (M.S.)  400008,66044100,,
48,Mahatma Education Society's Pillai's Institute of Management Studies & Research   New Panvel,www.pimsr.ac.in,pimsr@mes.ac.in,Dr. K. M. Vasudevan Pillai's Campus 10   Sector 16   Podi No. 2   New Panvel   Maharashtra  Raigad    410206,27456100,,
49,Anjuman-I-Islam's Allana Institute of Management Studies   Mumbai,www.aiaims.com,director@aiaims.com,Anjuman-I-Islam's Secretariat Bldg.   Badruddin Tayyabji Marg   Off. 92   D.N. Road   Opp. CST   Mumbai  400001,22705207,,
50,Agnel Charities Agnel Seva Sangha's Fr. C. Rodrigues Inst. of Management. Studies   Vashi   Navi Mumbai,www.fcrims.com,agnelbiz@gmail.com,Sector 9A   Vashi   Navi Mumbai   Thane,27771000,,
51,Gurunanak Institute of Management Studies   Mumbai,www.gnims.com,info@gnims.com,Khalsa College Campus   Annex Building    King's Circle   Matunga   Mumbai  400019,24043927,,
52,Zagdu Singh Chartitable Trust's Thakur Institute of Management Studies & Research   Mumbai,www.timsrmumbai.in/ www.thakureducation.org,timsr@thakureducation.org,Shyam Narayan Thakur Marg   Thakur Village   Kandivali (E)   Mumbai 400101,67308201,,
53,St. Francis Institute of Management & Research   Mumbai,www.sfimar.org,info@sfimar.org,Mt. Poinsur   S.V.P. Road   Borivali(W)   Mumbai 400103,28929156,,
54,Atharva Educational Trust   Atharva Institute of Management Studies   Mumbai,www.atharvaeducation.com,aims@atharvaeducation.com,S. No. 263   Plot No. 8-12   Malad-Marve Road   Charkop Naka   Malad(W)   Mumbai  400095,40294949,,
55,Sahajeevan Shikshan Sanstha's Madanbhai Sura Institute of Business Management   Khed Dist. Ratnagiri,www.msibm.edu.in,msibmkhed@gmail.com,At Post Taluka Khed    District-Ratnagiri ,263895,,
56,IBSAR Trust's IBSAR Institute of Management Studies   Karjat   Raigad,www.ibsar.edu.in,iimskarjat410201@gmail.com,Plot no.159 B  Dahivali Tarfe Need   Karjat   Dist: Raigad  410201,220472,,
57,Parle Tilak Vidyalaya Asso.'s Institute of Management   Mumbai,www.ptvaim.com,admin@ptvaim.com,Chitrakar Ketkar Marg   Vile Parle(E)   Mumbai   400057,26100100,,
58,Saraswati Education Society   Group of Institutions ( Integrated Campus)   Diksal Dist. Raigad,www.tasgaonkartech.com,sesgoifoe3124@gmail.com,Sau.Vandana N.Tasgaonkar Technical Education Complex   Plot No.14   Village Diksal Post Koshane   Kalyan-Karjat Road  ,96570684,,
59,Audyogik Shikshan Mandal's Institute of Management & Computer Studies   Thane ,www.imcost.edu.in,imcost@redifffmail.com,C-4 Wagle Industial Estate   NearMulund Check Naka Thane(Mumbai)  400604,25832452,,
60,NCRD's Sterling Institute of Management Studies   Navi Mumbai,www.ncrdsims.edu.in,accounts@ncrdsims.edu.in,Opp to Darave petrol pump  Plot No 93   Sector 19 Nerul (E)   Navi mumbai  400706,27702282,,
61,Mandar Education Society's Rajaram Shinde College of Master of Business Adminstration   Chiplun,www.mandaredusoc.org,mesmandarmba@gmail.com,At Pedhambe Po. Alore   Tal. Chiplun Dist: Ratnagiri 415603,230243,,
62,Mumbai Institute of Management & Research   Mumbai ,www.mimr.in,miomr@yahoo.com,Knowledge Centre   Behind- MbPT Hospital Nadkarni Park   Near railway station  Wadala(East)   Mumbai - 400 037,24143009,,
63,VPM's Dr. V.N. Bedekar Institute Of Management Studies   Mumbai,www.vnbrims.org,vnbrims@vpmthane.org,Jnanadweepa   Chendani   Bunder Road   Thane (W)   400601,25391665,,
64,Hashmatrai and Gangaram Himathmal Mansukhani Institute of Management   Ulhasnagar   Thane,www.hghmim.edu.in,hsncb.mgmt@gmail.com,Opposite Ulhasnagar Railway Station    Smt. CHM College Campus   Ulhasnagar 421 003,2571867,,
65,Dr. G D Pol Foundation YMT College of Management   Navi Mumbai,www.ymtcollegeofmanagement.org,ymtmanagement@gmail.com,Intitutional Area   Sector 4  Kharghar   Navi Mumbai 410 210,27744408,,
66,Swayamsiddhi Mitra Sangh's College of Management & Research   Thane,www.sscmrmba.in,sscmr.mba@gmail.com,Sonadevi Compaund   Temghar   Near Octroi Naka    Kalyan Road   Bhivandi   Dist. Thane   421302,248257,,
67,Bombay St. Xavier College Soc.'s Xavier Institute of Management & Research   Mumbai,www.ximr.ac.in,admin@ximr.ac.in,St. Xavier College Campus   5   Mahapalika Marg   Mumbai  400001,22650608,,
68,Manjara Charitable Trust's Rajiv Gandhi Institute of Technology   Mumbai,www.mctrgit.ac.in,mctrgit02@gmail.com,Off. Juhu Versova Link Road   Versova   Andheri(W) Mumbai ,26707026,,
69,Oriental Education Society Oriental Institute of Management   Navi Mumbai,www.oim.edu.in,admin@oim.edu.in,Plot No 149   Sector 12   Vashi Navi Mumbai 400703,27899156,,
70,Gahlot Institute of Management Studies and Research   Navi Mumbai,www.gahlotmgmtinst.co.in,gahlot_mgmt@rediffmail.com,Plot No.59   Sector-14   Koperkhairane   Navi Mumbai 400709 ,27550811,,
71,Vidyalankar Institute of Technology  Wadala   Mumbai,www.vit.edu.in,principal@vit.edu.in,Vidyalankar Educational Campus  Vidyalankar College Marg   Wadala(E)   Mumbai ,24161126,,
72,Vighnaharata Trust   Shivajirao S. Jodhale Institute of Management Science and Research   Asangaon,www.jondhlemgmt.org,vjtsscoe@rediffmail.com,Asangaon   Opp. Asangaon Railway Station   Tal.Shahapur   Dist. Thane  421601,9594962027,,
73,Navjeevan Education Society's Polytechnic   Mumbai,www.navjeevanedu.com,nespolytechnic@rediffmail.com,Ganesh Nagar  Ganesh Path Mumbai    400078,25952601,,
74,Zagdu Singh Charitable Trust's Thakur Polytechnic   Mumbai,www.tpolymumbai.in,tpoly@thakureducation.org,Thakur Complex   West To W.E.Highway Mumbai ,28542481,,
75,Mahavir Education Trust's Shah & Anchor Kutchhi Polytechnic   Mumbai,www.sakp.ac.in,info@sakp.ac.in,Near Chhatrapati Shivaji Maharaj Chowk      Waman Tukaram Patil Marg  Mumbai    400088,67978400,,
76,Vivekanand Education Society's Polytechnic   Mumbai,www.ves.ac.in/polytechnic,vespolytechnic@yahoo.co.in,Sindhi Society  Chembur Mumbai    400071,25227638,,
77,Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering  Kharghar   Navi Mumbai,www.acpce.org,principal@acpce.ac.in,Sector 4  Ploat No-17  Kharghar   Navi Mumbai. Dist. Raigad ,27745722,,
78,Saraswati Education Society   Yadavrao Tasgaonkar  Institute of Engineering & Technology   Karjat,www.tasgaonkartech.com,nanduyt@hotmail.com,Near Bhiv puri Road Railway statiion Chandai   Tal Karjat   Dist Raigad,8806753541,,
79,Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College   Mumbai,www.shahandanchor.com,principal@sakec.ac.in,Vaman Tukaram Patil Marg   Chembur   Mumbai,25580854,,
80,Shree Shankar Narayan Education Trust's Rohidas Patil Institute of Management Studies   Bhayandar,www.rpims.com,director@rpims.com,Mahavidyalaya Marg   Navghar    Bhayandar (E)   Dist Thane  401105,28160904,,
81,Vishweshwar Education Society's Indira Institute of Business Management   Navi Mumbai,www.indiraiibm.edu.in,info@indiraiibm.edu.in,Plot No. -2   Sector 9    Sanpada   Navi Mumbai. Raigad    400705,27753228,,
82,Humera Khan Institute Of Mangement Studies & Reserch   Mumbai,www.hkimsr.edu.in,admin.mba@hkimsr.edu.in,Mhada Complex   Pratiksha Nagar    Oshiwara   Jogeshwari (W)   Mumbai  400102,26774588,,
83,Saraswati Education Society's Saraswati College of Engineering  Kharghar Navi Mumbai,www.sce.edu.in,registrarsaraswati@gmail.com,Plot No 46/46 A   Sector 5 Near MSEB Sub Station Kharghar Navi Mumbai  Dist. Raigad ,27743705,,
84,SYCSPM'S Sinhgad Institute of Business Management   Chandivali   Powai   Mumbai,www.sycspm.org,info@sycspm.org,Plot No. 126   MHADA Colony   Chandivali   Powai   Mumbai.  400072,28582888,,
85,Shree Ghatkopar Sarvajanik Jivdaya Khatur's Aruna Manharlal Shah Institute of Management & Research   Ghatkopar,www.amsimr.org,info@amsimr.org,R. B. Kadam Marg(Jivdaya Lane)   Near MTNL Exchange   Agra Road   Ghatkopar (w) Mumbai  400086,25126805,,
86,Saket Gyanpeeth's   Saket College of management   Kalyan,www.saketcollegeofmanagement.com,saketcollegeofmanagement@gmail.com,S.No.27   H.No.10   Katemanivlli   Kalyan (East)  Dist:Thane  421304,2250469,,
87,JNIESTR's  Rajeev Gandhi College of Management Studies   Navi Mumbai,www.rgcms.edu.in,rgcms@rediffmail.com,Plot No. 1  Sector-8   Ghansoli   Navi Mumbai. ,7303760809,,
88,Mahatma Edu.Soc.'s Pillai's HOC Institute of Management Studies & Research   Khalapur Dist. Raigadh,www.phimsr.ac.in,vpillai@mes.ac.in,Pillai's HOCL Educational Campus  Rasayani  Khalapur   Via Panvel   Dist Raigad.  410207,250066,,
89,Viva Institute of Management and Research (Viva School of Management and Research),www.vivaimr.org,contact@vivaimr.org,Viva Institute of Management and Research (Viva School of Management and Research),6990999,,
90,Bharti Vidyapeeth's Institute of Management & Information Technology   Navi Mumbai,www.bvimit.co.in,admission@bvimit.co.in,Sector 8. CBD   Belapur   Navi Mumbai  400614,27578415,,
91,Shri Angarsiddha Shikshan Prasarak Mandal's Diploma In Pharmacy Institute  Sangulwadi  Tal-Vaibhavwadi,www.saspmsdpharm.in,0852principal@msbte.com,Np 1290   At Post Sangulwadi   Vaibhavwadi   Sindhudurg 416810,237370,,
92,Viva School Of MCA   Virar (E),www.vivamca.org,principal@vivamca.org,Viva School Of MCA   Virar (E),7770002544,,
93,Mumbai Education Trust's Institute of Computer Science   Bandra (W)   Mumbai,www.met.edu,principal_ics@met.edu,Gen. Arunkumar Vaidya Chowk   2nd Floor   MET complex   Bandra Reclamation   Bandra(W)   Mumba 400050,39554267,,
94,Thakur Institute of Management Studies Career Development Research   Kandivali (E)   Mumbai,www.timscdrmumbai.in,timscdr@thakureducation.org,Shyamanarayan Thakur Marg   Thakur Village   Kandivali (E)   Mumbai    400101,67308301,,
95,Late Bhausaheb Hiray S. S. Trust's Institute of Computer Application   Bandra (E)   Mumbai,hiray.org,hirayplacement@yahoo.co.in,S.No 341   Next to New English School  Opp. Kherwadi police station Govt. Colony   Bandra(E)   Mumbai  400051,26570986,,
96,Deccan Education Society's Navinchandra Mehta Institute of Technology & Development   Dadar   Mumbai,www.nmitd.edu.in,director@nmitd.edu.in,DES's Mumbai Campus   Kirti College Road   Dadar (W)   Mumbai.  400028,62764583,,
97,Ramrao Adik Edu Soc   Ramarao Adik Institute of Tech.   Navi Mumbai,www.rait.ac.in,ramraoadik@gmail.com, Dr. D.Y. Patil Vidyanagar   Sector-7   Phase-I   Nerul   Navi Mumbai,27709574,,
98,M.G.M.'s College of Engineering and Technology   Kamothe   Navi Mumbai ,www.mgmmumbai.ac.in,principal.cet@mgmmumbai.ac.in,At Junction of NH4 & Sion-Panvel Expressway    Kamothe   Navi Mumbai ,27433421,,
99,Thakur College of Engineering and Technology   Kandivali   Mumbai,www.tcetmumbai.in,tcet@thakureducation.org,Thakur Shyamnarayan Marg  Thakur Village  Kandivali(E)   Mumbai,67308000,,
100,K.J.Somaiya College of Engineering   Vidyavihar   Mumbai,www.somaiya.edu/kjsce,principal.engg@somaiya.edu,Vidya_Nagar   Vidya Vihar   Mumbai ,66449191,,
101,Thadomal Shahani Engineering College   Bandra   Mumbai,www.tsec.edu,gtthampi@yahoo.com,37th Road   Off Linking Road   (Near National)   Bandra (West)   Mumbai ,26041631,,
102,Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering   Byculla   Mumbai,www.mhssce.ac.in,aimhssce@gmail.com,8   M.H.Saboo Siddik Polytechnic Road   P.O.Box: 4627   Byculla   Mumbai,23012922,,
103,Fr. Conceicao Rodrigues College of Engineering   Bandra  Mumbai,www.fragnel.edu.in,crce@fragnel.edu.in,Father Agnel Ashram    Band-stand   Bandra (West)   Mumbai,67114000,,
104,Vivekanand Education Society's Institute of Technology   Chembur   Mumbai,www.ves.ac.in/vesit,vesit@vsnl.com,Hashu Advani Memorial Complex   Behind Collector Colony   R.C. Marg   Chembur   Mumbai,61532532,,
105,Indrayani Shikshan Prasarak Mandal Shri Pushpasen Sawant College of Diploma Pharmacy  Kudal,www.spspharmacycollege.com,indrayanipharmacy@gmail.com,At Post Digas   Tal. Kudal Dist. Sindhudurg Sindhudurg    400088,229022,,
106,N.Y.S.S.'s Datta Meghe College of Engineering   Airoli   Navi Mumbai,www.dmce.ac.in,principaldmce@yahoo.com,P.B. No. 15   CIDCO Colony   Plot No. 98   Sector 3    Airoli   Navi Mumbai ,27791662,,
107,Padmabhushan Vasantdada Patil Pratishthans College of Engineering   Sion  Mumbai,www.pvppcoe.ac.in,principal@pvppcoe.ac.in,Padmabhushan Vasantdada Patil Education Complex   Eastern Express Highway   Near Everard Nagar    Sion-Chunabhatti Mumbai ,24070547,,
108,Bharati Vidyapeeth College of Engineering    Navi Mumbai,www.bvcoenm.edu.in,principal.bvcoenm@bharatividyapeeth.edu,Sector - 7  CBD- Belpur   Navi Mumbai 400614 ,27572140,,
109,Terna Engineering College   Nerul   Navi Mumbai,www.ternaengg.ac.in,principal@terna.org,Plot No. 12   Sector-22  Opp. Nerul Railway Station  Phase-II   Nerul (W)  Navi Mumbai ,61115444,,
110,Mandar Education Society's Rajaram Shinde College of Engineering   Pedhambe,www.mandaredusoc.org,rscoedegree@gmail.com,At Pedhambe   Po. Alore   Tal : Chiplun   Dist. Ratnagiri,230005,,
111,Smt. Indira Gandhi College of Engineering   Navi Mumbai,www.sigce.edu.in,contactus@sigce.edu.in,Plot No.1   Sector No. 08   Ghansoli    Navi Mumbai 400 701,27543608,,
112,Shivajirao S. Jondhale College of Engineering   Dombivali  Mumbai,www.shivajiraojondhalecoe.org.in,officessjcoe@gmail.com,Sheel Kalyan Highway   Behind Venkatesh Petrolpump   Sonarpada   Manpada Post   Dombivali (E) Thane ,2872560,,
113,Vidyavardhini's College of Engineering and Technology   Vasai,www.vcet.edu.in,vcet_inbox@vcet.edu.in,Vasai Road (W Rly)   Tal: Vasai   District Palghar ,2338234,,
114,Lokmanya Tilak College of Engineering   Kopar Khairane   Navi Mumbai,www.ltce.in,principal.ltce@gmail.com,Sector - 4   Plot N0 17 & 18   Vikas Nagar   Koparkhairane   Navi Mumbai,27541005,,
